alias,categories_0_alias,categories_0_title,categories_1_alias,categories_1_title,categories_2_alias,categories_2_title,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,is_closed,location_address1,location_address2,location_address3,location_city,location_country,location_display_address_0,location_display_address_1,location_display_address_2,location_state,location_zip_code,name,phone,price,rating,review_count,transactions_0,transactions_1,url
twinkle-brown-sugar-los-angeles-2,coffee,Coffee & Tea,juicebars,Juice Bars & Smoothies,bubbletea,Bubble Tea,34.048399475675,-118.23939954433,(213) 626-8889,579.2796533931789,-hC4S9XrBFWp2iOstaJTBA,https://s3-media4.fl.yelpcdn.com/bphoto/8xTPtXXboAArEBi74WIzSg/o.jpg,False,131 S Central Ave,,,Los Angeles,US,131 S Central Ave,"Los Angeles, CA 90012",,CA,90012,Twinkle Brown Sugar,+12136268889,$,4.0,1125,pickup,delivery,https://www.yelp.com/biz/twinkle-brown-sugar-los-angeles-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
milk-t-los-angeles-3,foodtrucks,Food Trucks,bubbletea,Bubble Tea,,,34.0490233,-118.2415817,(323) 884-1164,407.3444386313266,FKfygibuy4l77jyuDUoOcA,https://s3-media2.fl.yelpcdn.com/bphoto/jIMfMpzHjlvzftpIa9USZQ/o.jpg,False,310 E 2nd St,,,Los Angeles,US,310 E 2nd St,"Los Angeles, CA 90012",,CA,90012,MILK+T,+13238841164,$,4.5,472,,,https://www.yelp.com/biz/milk-t-los-angeles-3?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
bubble-u-los-angeles-2,taiwanese,Taiwanese,coffee,Coffee & Tea,bubbletea,Bubble Tea,34.0633996,-118.2379715,(213) 628-3679,1373.7677280268244,fwO7SDvDWiQ4yh1k2LvcyQ,https://s3-media3.fl.yelpcdn.com/bphoto/2B1RpG9qyG9iWgrcr2KY_g/o.jpg,False,843 N Broadway,,,Los Angeles,US,843 N Broadway,"Los Angeles, CA 90012",,CA,90012,Bubble U,+12136283679,$,4.5,332,pickup,delivery,https://www.yelp.com/biz/bubble-u-los-angeles-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
pine-and-crane-los-angeles,taiwanese,Taiwanese,chinese,Chinese,bubbletea,Bubble Tea,34.0905963760163,-118.277172084005,(323) 668-1128,5266.25400994927,ohosmz6FXVAeoW5nUkYwng,https://s3-media3.fl.yelpcdn.com/bphoto/r_MZFwsIjwAmbrT1cL6Z1g/o.jpg,False,1521 Griffith Park Blvd,,,Los Angeles,US,1521 Griffith Park Blvd,"Los Angeles, CA 90026",,CA,90026,Pine & Crane,+13236681128,$$,4.5,1837,,,https://www.yelp.com/biz/pine-and-crane-los-angeles?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
little-fluffy-head-cafe-los-angeles,bubbletea,Bubble Tea,coffee,Coffee & Tea,,,34.0447553,-118.2523943,(213) 266-8495,1150.1838748345795,_Cop86udfkWP81q1VT_Q5A,https://s3-media4.fl.yelpcdn.com/bphoto/ICrOy5i1fo4PRHD0f3vbQg/o.jpg,False,203 W 7th St,,,Los Angeles,US,203 W 7th St,"Los Angeles, CA 90014",,CA,90014,Little Fluffy Head Cafe,+12132668495,$,4.5,264,pickup,delivery,https://www.yelp.com/biz/little-fluffy-head-cafe-los-angeles?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
